sex,row_number,liters_drunk,age,drink,check_number,label
Не указан,100.0,3,14,Cola,8854,1
М,99.0,0,42,Fanta,8384,0
Ж,37.0,1,13,Cola,4381,1
Ж,86.0,0,67,Beerbeer,7460,0
Не указан,,4,63,Strong beer,8522,1
Не указан,90.0,2,75,Water,5074,0
М,92.0,0,59,Water,6215,0
М,77.0,4,79,Water,9765,1
Не указан,,1,59,Water,5974,0
М,97.0,4,20,Fanta,9223,0
Не указан,47.0,5,54,Fanta,7304,0
М,84.0,2,49,Strong beer,8745,0
Ж,74.0,9593963,38,Beerbeer,6414,1
М,86.0,5,53,Beerbeer,8037,1
Не указан,56.0,2,70,Strong beer,1629,1
М,24.0,5,35,Beerbeer,404,1
Ж,62.0,1,71,Strong beer,9080,1
М,71.0,5,10,Water,5379,1
Не указан,1.0,0,12,Fanta,8383,0
Не указан,9.0,5,58,Water,632,1
Ж,92.0,3,25,Beerbeer,5702,1
Не указан,2.0,3,39,Water,7843,0
Не указан,75.0,-2,40,Cola,6817,0
Ж,55.0,1,54,Strong beer,3172,0
М,88.0,4,46,Bugbeer,7833,1
М,83.0,5,37,Cola,9021,1
Ж,73.0,4,52,Beerbeer,7214,0
Не указан,97.0,0,16,Cola,8415,0
Ж,39.0,98305141,74,Fanta,8914,0
Ж,99.0,5,60,Beerbeer,507,1
М,40.0,3,62,Fanta,716,0
Не указан,97.0,1,56,Beerbeer,5101,1
Не указан,87.0,87646033,75,Bugbeer,7268,1
Не указан,,1,62,Bugbeer,7242,0
Не указан,35.0,-5,78,Cola,2362,0
М,54.0,3,68,Beerbeer,1561,1
Ж,31.0,4,33,Fanta,7817,1
М,90.0,6135527,47,Bugbeer,8950,0
М,33.0,93567336,38,Fanta,4218,1
Ж,15.0,1,30,Beerbeer,2824,1
М,46.0,29249797,23,Fanta,717,1
Ж,65.0,0,30,Water,2271,1
М,21.0,4,34,Fanta,7389,1
М,51.0,2,40,Cola,5284,1
Не указан,33.0,3,34,Beerbeer,2150,0
М,65.0,5,75,Bugbeer,9845,1
М,11.0,3,48,Beerbeer,2350,1
М,53.0,1,13,Fanta,2256,1
Не указан,62.0,5,77,Fanta,6994,0
Не указан,7.0,2,65,Strong beer,2663,1
Ж,7.0,5,10,Water,5296,1
М,9.0,2,61,Beerbeer,6743,1
Не указан,96.0,5,22,Beerbeer,7708,1
М,32.0,2,34,Fanta,3980,1
Не указан,14.0,4,18,Fanta,2347,0
Не указан,72.0,26900067,10,Cola,601,1
Ж,97.0,0,48,Cola,7433,0
М,41.0,-6,45,Cola,2074,1
Не указан,47.0,0,46,Beerbeer,844,1
Не указан,99.0,3,54,Beerbeer,4944,1
М,61.0,3,80,Fanta,834,1
Ж,80.0,5,80,Cola,7844,0
Ж,49.0,-6,70,Water,927,1
М,92.0,0,62,Bugbeer,3244,0
Ж,59.0,5,76,Beerbeer,4051,1
Ж,48.0,1,42,Bugbeer,9530,1
Ж,63.0,3,21,Fanta,428,0
М,88.0,5,44,Fanta,139,0
М,86.0,4,41,Beerbeer,9912,1
Не указан,48.0,3,14,Fanta,6152,0
Ж,67.0,2,41,Beerbeer,2195,1
М,36.0,-1,73,Cola,9722,0
М,98.0,2,71,Beerbeer,2428,0
Не указан,,0,48,Beerbeer,4757,0
М,1.0,1,74,Strong beer,9116,0
Не указан,66.0,4,53,Strong beer,4981,1
Ж,36.0,4,18,Fanta,6744,1
Ж,61.0,2,16,Cola,4293,1
Ж,52.0,3,22,Beerbeer,532,0
Ж,51.0,4,56,Beerbeer,1318,1
Ж,28.0,1,55,Strong beer,7869,1
Не указан,78.0,1,52,Strong beer,1246,1
Ж,0.0,3,29,Fanta,7560,1
М,4.0,3,48,Water,9805,1
Ж,,2,62,Beerbeer,9552,0
Ж,91.0,0,69,Bugbeer,918,1
Ж,71.0,4,59,Bugbeer,4244,0
М,1.0,5,62,Bugbeer,2518,1
Не указан,31.0,3,67,Beerbeer,3514,1
Ж,47.0,2,15,Cola,4729,0
Не указан,11.0,3,40,Cola,8086,1
Ж,76.0,2,22,Water,6943,0
Не указан,24.0,4,29,Water,2240,1
М,100.0,2,61,Strong beer,2788,1
Не указан,19.0,2,26,Strong beer,4337,0
Не указан,53.0,2,27,Bugbeer,9260,0
М,55.0,4,52,Fanta,9115,1
Не указан,79.0,0,21,Water,621,1
Не указан,3.0,1,32,Fanta,8724,1
М,87.0,1,55,Fanta,301,1
Не указан,19.0,-5,13,Fanta,8785,1
М,49.0,0,74,Bugbeer,7654,0
М,85.0,2,18,Fanta,8036,0
Ж,63.0,3,22,Strong beer,4175,1
М,63.0,2,59,Strong beer,2853,1
Ж,49.0,1,71,Bugbeer,4775,0
Не указан,83.0,0,19,Fanta,5280,0
Не указан,33.0,1,36,Beerbeer,6243,1
М,35.0,2,53,Water,2695,1
М,60.0,2,72,Cola,9791,1
М,9.0,0,33,Beerbeer,6914,0
Не указан,50.0,47140961,38,Water,6952,1
Не указан,32.0,-4,76,Fanta,5543,1
М,79.0,0,31,Fanta,310,1
Ж,77.0,2,27,Fanta,7180,0
Ж,28.0,5,38,Strong beer,4157,1
Ж,52.0,33905846,47,Strong beer,1272,0
Не указан,44.0,3,34,Water,1324,0
М,7.0,5,55,Bugbeer,4545,1
Не указан,6.0,4,41,Strong beer,5819,1
Ж,24.0,2,52,Bugbeer,7638,0
М,22.0,2,56,Water,4600,0
Не указан,24.0,-3,60,Strong beer,964,1
Ж,50.0,0,34,Beerbeer,9211,0
Не указан,93.0,5,29,Cola,1417,0
Ж,23.0,1,25,Fanta,1071,1
Ж,21.0,5,15,Water,4928,1
Ж,38.0,3,19,Cola,7057,1
М,14.0,3,11,Cola,991,1
М,51.0,0,70,Strong beer,4071,1
М,9.0,2,31,Cola,6614,0
Ж,90.0,3,67,Fanta,3611,0
Ж,64.0,-4,57,Fanta,8942,1
Ж,45.0,1,47,Strong beer,9592,0
М,59.0,3,55,Fanta,7788,0
Ж,46.0,1,60,Fanta,3215,1
Ж,15.0,0,80,Strong beer,1467,0
Ж,95.0,0,65,Beerbeer,3629,0
Ж,,42290517,58,Cola,8820,0
Не указан,40.0,1,78,Bugbeer,4583,0
Ж,69.0,5,71,Cola,1425,0
М,36.0,1,62,Water,1311,0
Не указан,68.0,2,77,Beerbeer,2079,1
М,13.0,0,80,Bugbeer,9016,0
М,82.0,0,37,Fanta,6378,0
М,8.0,0,59,Beerbeer,4435,0
Ж,68.0,-3,71,Strong beer,9204,1
Не указан,3.0,5,79,Beerbeer,8529,0
Ж,0.0,4,51,Fanta,490,1
Не указан,23.0,4,25,Bugbeer,1054,1
Не указан,76.0,2,28,Water,2253,0
Ж,1.0,5,57,Beerbeer,1403,1
Ж,35.0,1,71,Cola,512,1
М,62.0,3,25,Fanta,1569,1
Не указан,94.0,78848142,55,Cola,1341,0
Не указан,30.0,4,21,Beerbeer,2913,1
Ж,36.0,0,58,Fanta,3166,1
Не указан,10.0,2,64,Beerbeer,9698,1
Ж,8.0,2,29,Strong beer,953,1
Не указан,81.0,88013423,27,Water,9083,0
Не указан,25.0,2,30,Strong beer,12,0
Не указан,6.0,1,15,Water,206,1
Ж,44.0,93095248,28,Cola,8681,1
М,93.0,2,50,Bugbeer,5288,1
Не указан,50.0,5,26,Fanta,2186,0
М,98.0,0,32,Strong beer,6622,0
Не указан,10.0,0,34,Water,7137,0
Ж,51.0,4,43,Water,3697,1
Не указан,55.0,5,68,Strong beer,3758,1
Не указан,0.0,5,72,Fanta,2062,0
Не указан,37.0,4,22,Cola,6674,1
Ж,67.0,1,15,Fanta,1541,1
Ж,69.0,0,79,Bugbeer,3537,1
Ж,40.0,5,18,Fanta,250,1
Не указан,64.0,3,54,Beerbeer,7267,1
Ж,89.0,3,48,Strong beer,5464,1
Не указан,34.0,1,69,Fanta,7942,0
Ж,94.0,2,73,Strong beer,5650,1
Ж,6.0,3,79,Strong beer,5501,0
Не указан,51.0,2,79,Strong beer,6673,1
М,48.0,0,57,Bugbeer,2536,1
Не указан,60.0,5,43,Fanta,3419,1
М,37.0,2,63,Cola,6900,1
Ж,75.0,-2,42,Fanta,8766,0
Не указан,44.0,25356576,45,Fanta,6671,0
М,29.0,2,21,Cola,1015,1
Не указан,28.0,4,56,Fanta,4269,1
Ж,56.0,5,70,Strong beer,8039,0
М,60.0,1739154,59,Beerbeer,1057,0
М,4.0,-6,38,Beerbeer,5863,1
М,74.0,1,34,Strong beer,4413,0
Не указан,45.0,2,77,Beerbeer,3971,1
М,74.0,4,40,Water,6106,0
М,29.0,4,63,Water,6973,1
М,46.0,1,75,Beerbeer,2422,1
М,39.0,1,17,Cola,4668,1
Ж,28.0,4,38,Beerbeer,4917,1
Ж,47.0,1,45,Water,9002,1
Ж,71.0,0,31,Bugbeer,6492,0
М,40.0,0,46,Water,226,1
Не указан,24.0,4,41,Water,7804,1
Ж,65.0,4,49,Bugbeer,5979,1
М,49.0,1,22,Bugbeer,9284,1
М,52.0,3,60,Bugbeer,5858,0
Не указан,65.0,5,60,Fanta,6784,0
Ж,20.0,5,16,Cola,935,1
Ж,0.0,3,42,Water,5476,0
М,4.0,1,44,Beerbeer,166,1
Ж,29.0,4,55,Bugbeer,770,0
Ж,20.0,5,30,Strong beer,8089,1
М,33.0,2,37,Strong beer,7602,0
М,9.0,3,54,Bugbeer,8079,0
М,67.0,5,27,Fanta,1800,1
Ж,60.0,0,63,Strong beer,7366,1
Ж,28.0,5,19,Cola,7746,0
Не указан,80.0,4,26,Water,411,1
Не указан,17.0,1,73,Strong beer,4256,0
Ж,,4,68,Fanta,7808,0
М,78.0,2,59,Bugbeer,3643,1
Ж,1.0,4,36,Strong beer,5313,1
Ж,18.0,1,12,Cola,6196,1
Ж,8.0,0,66,Fanta,3456,1
М,100.0,76426371,15,Cola,4727,1
М,14.0,0,39,Bugbeer,5364,1
Ж,39.0,94436546,49,Beerbeer,5438,1
Ж,95.0,0,48,Water,9457,0
Ж,98.0,3,54,Fanta,1705,0
Не указан,6.0,3,12,Water,5375,0
Не указан,75.0,3,66,Water,2620,0
М,36.0,4,59,Beerbeer,2940,0
Не указан,60.0,4,42,Bugbeer,2288,1
М,95.0,0,28,Cola,6745,0
Не указан,76.0,2,79,Strong beer,4962,1
Не указан,38.0,0,23,Strong beer,7124,1
М,58.0,5,49,Beerbeer,1811,1
М,21.0,5,76,Bugbeer,1364,1
М,,3,67,Strong beer,6911,0
Ж,75.0,2,37,Bugbeer,819,1
Ж,48.0,5,56,Cola,7390,0
Не указан,79.0,0,66,Beerbeer,2535,0
Не указан,45.0,5,30,Bugbeer,6560,1
Не указан,27.0,4,26,Strong beer,1661,1
Не указан,39.0,5,13,Cola,9849,1
Не указан,61.0,0,44,Beerbeer,5492,1
Не указан,6.0,0,37,Water,3775,0
Не указан,87.0,4,33,Strong beer,8313,1
М,40.0,3,38,Fanta,9969,1
Ж,,0,68,Cola,1726,1
М,56.0,1,21,Bugbeer,2044,0
Не указан,74.0,4,52,Strong beer,1544,0
М,97.0,3,19,Fanta,579,1
М,50.0,1,77,Strong beer,2532,0
М,22.0,4,35,Water,4153,1
Не указан,38.0,4,32,Water,6981,1
Не указан,53.0,0,22,Bugbeer,7644,0
М,28.0,0,70,Beerbeer,9503,0
Не указан,68.0,0,14,Cola,8038,1
Ж,93.0,5,37,Water,5937,1
М,52.0,3,38,Strong beer,6204,1
Ж,24.0,1,26,Strong beer,8067,0
М,98.0,0,67,Water,2124,0
Ж,99.0,2,40,Fanta,1865,1
М,41.0,0,20,Water,156,1
Не указан,,0,36,Beerbeer,671,0
Не указан,39.0,3,79,Bugbeer,3949,0
М,57.0,4,53,Fanta,5107,1
Не указан,36.0,3,67,Cola,8883,1
Не указан,6.0,59203943,70,Fanta,470,0
Не указан,80.0,5,16,Cola,7632,1
М,71.0,5,33,Strong beer,5705,1
М,75.0,86697451,27,Strong beer,8811,0
М,47.0,1,36,Beerbeer,3068,0
М,,2,35,Bugbeer,1528,0
М,42.0,3,63,Fanta,728,1
М,3.0,3,35,Bugbeer,305,1
Не указан,60.0,0,47,Fanta,2811,0
Не указан,83.0,1,71,Bugbeer,3710,0
М,25.0,2,27,Fanta,9840,0
Ж,68.0,4,79,Strong beer,838,1
Ж,71.0,2,67,Bugbeer,967,0
Ж,4.0,-1,72,Strong beer,6781,0
М,90.0,0,64,Beerbeer,4189,1
Не указан,1.0,4,30,Beerbeer,4430,1
Ж,3.0,3,47,Water,6126,1
М,,4,49,Water,1698,1
Ж,82.0,5,47,Strong beer,2398,1
Ж,91.0,0,28,Water,2689,0
Ж,40.0,0,39,Water,6033,1
Не указан,30.0,3,11,Water,8404,1
Не указан,51.0,2,22,Water,1888,1
М,1.0,3,15,Water,7785,1
М,56.0,3,56,Water,7677,0
Не указан,63.0,5,58,Water,9884,0
Ж,98.0,1,80,Water,8110,0
Не указан,79.0,4,11,Fanta,8282,0
М,94.0,5,10,Cola,9863,1
Ж,26.0,5,11,Fanta,9781,1
М,28.0,2,67,Cola,3367,0
Не указан,19.0,5,22,Cola,8670,1
Ж,,1,18,Water,1138,0
Не указан,11.0,1,13,Water,5939,1
Не указан,53.0,3,45,Beerbeer,8880,1
Не указан,77.0,4,57,Fanta,7081,0
Ж,45.0,4,26,Beerbeer,4078,1
Ж,99.0,5,40,Beerbeer,8278,1
М,95.0,1,29,Strong beer,9566,1
Не указан,61.0,5,33,Fanta,3722,1
Не указан,11.0,3,38,Fanta,3745,0
М,,3,15,Water,319,0
Ж,0.0,5,45,Strong beer,5592,1
Не указан,13.0,1,31,Fanta,2763,0
Ж,2.0,1,28,Fanta,352,0
М,22.0,2,15,Fanta,5319,1
Не указан,95.0,2,21,Fanta,1756,1
М,60.0,2,47,Beerbeer,335,0
М,9.0,5,46,Water,5133,0
Не указан,22.0,1,30,Fanta,9128,1
Ж,25.0,1,30,Bugbeer,8603,1
Ж,1.0,0,69,Bugbeer,4692,1
М,68.0,5,21,Cola,4480,1
М,22.0,2,72,Beerbeer,147,1
Не указан,13.0,1,23,Fanta,9991,0
Не указан,94.0,0,66,Strong beer,6086,1
Ж,28.0,4,47,Bugbeer,5178,1
М,58.0,4,42,Fanta,112,1
Ж,33.0,4,46,Fanta,5632,1
Ж,53.0,3,63,Bugbeer,7241,0
М,9.0,0,33,Fanta,6069,1
Ж,72.0,2,64,Fanta,1442,0
Ж,49.0,5,20,Fanta,2449,1
М,36.0,2,10,Fanta,4611,1
Ж,63.0,1,57,Beerbeer,9928,1
М,100.0,3,20,Fanta,9607,1
Ж,75.0,0,11,Cola,1808,1
Ж,44.0,4,66,Fanta,8464,0
Не указан,81.0,3,57,Fanta,7555,0
М,75.0,0,41,Strong beer,2204,1
М,1.0,1,53,Fanta,1308,1
Не указан,13.0,3,57,Water,7796,0
М,,1,30,Bugbeer,501,0
М,16.0,4,15,Cola,8940,0
Не указан,6.0,1,20,Fanta,5295,0
Не указан,14.0,4,18,Cola,9864,0
Ж,93.0,3,40,Strong beer,1282,1
Не указан,49.0,3,69,Fanta,1834,1
М,28.0,4,44,Strong beer,5688,1
М,60.0,2,40,Bugbeer,7157,0
М,3.0,0,31,Water,520,1
М,9.0,5,19,Water,5304,1
Не указан,85.0,6223404,80,Cola,2342,1
М,,47181200,29,Cola,1370,1
М,4.0,1,44,Water,3995,1
М,9.0,2,67,Strong beer,6530,0
М,55.0,0,30,Fanta,4599,1
Не указан,25.0,5,33,Bugbeer,281,1
М,77.0,1,56,Bugbeer,3452,1
Не указан,20.0,5,73,Water,5072,0
Ж,79.0,26853266,21,Cola,4911,1
Не указан,,2,46,Bugbeer,5115,1
М,45.0,2,45,Water,7037,0
Ж,27.0,1,80,Bugbeer,2316,1
Ж,91.0,1,35,Fanta,4111,1
Ж,49.0,1,18,Water,6050,1
М,83.0,4,13,Fanta,8996,0
Ж,32.0,-1,71,Bugbeer,5614,0
Не указан,11.0,5,25,Water,1790,1
Не указан,33.0,3,57,Water,359,0
М,29.0,4,32,Bugbeer,923,1
Ж,54.0,5,57,Bugbeer,5424,1
Не указан,46.0,0,38,Fanta,4263,1
Ж,2.0,3,32,Cola,2258,1
М,96.0,-1,37,Bugbeer,364,1
М,17.0,5,33,Fanta,7908,1
Не указан,10.0,2,70,Cola,7953,1
Не указан,52.0,1,31,Cola,6834,1
Ж,65.0,4,57,Cola,6544,0
М,1.0,4651435,16,Water,3357,0
Ж,76.0,1,32,Cola,5900,1
Не указан,66.0,9294283,45,Water,2784,0
Не указан,30.0,3,34,Fanta,5991,0
Не указан,20.0,1,11,Water,429,1
Ж,61.0,2,26,Strong beer,9337,1
М,6.0,2,21,Beerbeer,4807,1
Ж,19.0,2,67,Bugbeer,9854,0
Ж,45.0,0,41,Strong beer,508,1
Ж,,3,19,Cola,5534,1
Ж,72.0,4,69,Beerbeer,3234,1
Не указан,44.0,1,53,Cola,6435,1
Ж,,3,50,Cola,1234,0
Ж,80.0,5,16,Cola,4267,1
Ж,94.0,-3,46,Water,4653,1
Ж,72.0,1,71,Bugbeer,8191,0
М,30.0,0,51,Water,5656,0
Не указан,38.0,4,72,Fanta,8555,0
Не указан,74.0,3,12,Fanta,982,1
Не указан,92.0,2,71,Cola,5279,0
Не указан,9.0,26195988,23,Strong beer,7761,1
Не указан,38.0,3,60,Beerbeer,6873,0
М,86.0,18533911,56,Bugbeer,9320,0
Ж,99.0,1,50,Fanta,8327,0
Ж,99.0,2,46,Bugbeer,2377,1
Не указан,26.0,3,31,Strong beer,9818,1
Ж,18.0,1,24,Cola,7762,1
М,41.0,83581771,32,Beerbeer,3672,0
Не указан,82.0,0,37,Bugbeer,2250,1
М,0.0,4,44,Strong beer,1943,1
Ж,88.0,3,63,Water,5929,1
М,62.0,1,34,Beerbeer,6056,1
Ж,94.0,5,48,Fanta,3520,1
Ж,29.0,1,51,Beerbeer,2741,1
Ж,31.0,2,80,Bugbeer,9319,1
Ж,42.0,3,23,Strong beer,1110,1
Ж,53.0,2,36,Strong beer,3020,1
М,11.0,2,63,Bugbeer,6463,0
Не указан,93.0,4,31,Beerbeer,4815,1
Ж,71.0,5,23,Cola,713,1
М,33.0,2,61,Water,3344,1
Не указан,52.0,2,13,Water,5219,1
Не указан,9.0,5,67,Strong beer,9524,0
М,62.0,3,46,Cola,1933,1
Не указан,20.0,2,80,Bugbeer,5785,1
М,100.0,5,40,Strong beer,5330,1
М,73.0,4,72,Water,5195,1
М,2.0,1,15,Water,8706,1
Не указан,31.0,2,17,Cola,8692,1
Ж,84.0,0,62,Beerbeer,8667,1
М,83.0,2,45,Beerbeer,901,0
Ж,73.0,1,50,Bugbeer,4912,1
Ж,81.0,0,39,Fanta,7399,1
Ж,,85879525,77,Strong beer,3037,1
М,58.0,4,30,Bugbeer,4177,1
Ж,67.0,0,58,Beerbeer,9386,0
Ж,71.0,3,43,Bugbeer,5511,0
Ж,0.0,1,17,Cola,6905,0
М,6.0,5,80,Fanta,3322,1
Не указан,14.0,1,13,Fanta,4959,0
Ж,83.0,1,29,Water,9919,0
Ж,58.0,5,36,Fanta,485,1
Не указан,30.0,5,78,Water,8959,0
М,63.0,0,22,Beerbeer,8279,1
М,48.0,2,71,Bugbeer,8159,1
Ж,71.0,1,65,Bugbeer,6791,0
М,40.0,3,41,Strong beer,6688,1
Ж,36.0,1,34,Fanta,2260,0
М,74.0,1,11,Fanta,5615,0
М,24.0,2,60,Beerbeer,9326,0
М,24.0,0,60,Bugbeer,3529,1
М,31.0,2,72,Water,3946,1
Не указан,35.0,2,53,Beerbeer,2207,1
М,48.0,0,73,Water,5332,0
Ж,77.0,3,71,Beerbeer,3700,1
Ж,26.0,2,67,Beerbeer,5238,1
М,5.0,-5,34,Water,172,1
Не указан,16.0,1,38,Water,264,1
Не указан,98.0,3,75,Cola,5718,0
М,0.0,5,37,Water,5527,0
М,35.0,4,64,Water,3761,1
Не указан,79.0,-4,66,Bugbeer,8598,1
М,57.0,5,19,Fanta,5961,1
Не указан,92.0,3,70,Water,2346,1
Не указан,61.0,1,16,Cola,8651,1
М,,2,63,Fanta,5244,1
М,65.0,0,47,Beerbeer,3578,1
М,47.0,5,20,Fanta,1767,0
Не указан,80.0,2,22,Beerbeer,787,0
Ж,79.0,2,11,Fanta,1490,1
Не указан,30.0,11871992,17,Fanta,4683,0
М,50.0,1,43,Bugbeer,5947,1
М,7.0,0,34,Water,3184,1
М,12.0,1,24,Bugbeer,3779,1
Ж,84.0,3,56,Fanta,3306,1
М,2.0,2,29,Fanta,798,0
М,95.0,0,52,Water,1623,1
Не указан,0.0,5,43,Bugbeer,7763,1
М,50.0,1,39,Beerbeer,4226,1
Не указан,10.0,5,77,Cola,3072,1
М,50.0,3,72,Cola,6359,0
М,6.0,5,23,Beerbeer,9794,1
Ж,60.0,4,68,Cola,6150,1
М,55.0,1711693,41,Water,7832,1
М,37.0,1,31,Bugbeer,1094,0
Ж,1.0,0,63,Strong beer,284,1
М,26.0,1,18,Fanta,3851,1
Не указан,,4,48,Water,1058,0
М,73.0,0,45,Bugbeer,308,0
Не указан,79.0,2,54,Beerbeer,1599,0
Не указан,1.0,4,57,Fanta,8119,1
Ж,7.0,1,68,Bugbeer,7528,1
Не указан,94.0,1,53,Cola,8536,1
Не указан,95.0,2,69,Fanta,6750,0
М,28.0,2,77,Cola,1824,1
Ж,6.0,4,67,Bugbeer,755,0
Не указан,10.0,3,34,Strong beer,4986,1
Не указан,50.0,3,19,Cola,7320,1
Ж,55.0,1,19,Water,9346,0
М,30.0,5,77,Beerbeer,2103,0
Ж,64.0,3,37,Bugbeer,3081,1
Ж,45.0,1,56,Fanta,7992,0
Ж,89.0,3,10,Fanta,230,1
Ж,82.0,1,10,Water,3475,1
Не указан,80.0,1,75,Beerbeer,1656,1
М,25.0,3,32,Strong beer,217,0
Не указан,,0,38,Water,3457,1
М,61.0,2,59,Beerbeer,9188,0
Ж,18.0,56532752,56,Bugbeer,7923,1
М,45.0,13478213,44,Bugbeer,1125,1
М,44.0,1,10,Water,5287,1
Не указан,50.0,5,44,Cola,2538,1
М,39.0,-6,74,Bugbeer,5938,0
М,52.0,3,53,Strong beer,5209,1
М,55.0,3,43,Strong beer,5789,1
Не указан,2.0,1,43,Bugbeer,7143,0
М,26.0,2,49,Cola,2729,0
Не указан,94.0,3,43,Cola,7073,0
Не указан,94.0,0,54,Cola,6160,1
Не указан,62.0,2,64,Beerbeer,7987,1
Не указан,28.0,0,45,Fanta,9935,0
Не указан,36.0,5,77,Cola,4510,1
Ж,95.0,2,72,Beerbeer,8748,0
Ж,11.0,12457408,65,Water,43,1
Не указан,,4,65,Fanta,7786,0
М,85.0,4,17,Cola,5930,1
Ж,33.0,2,48,Bugbeer,8980,0
Ж,12.0,4,54,Strong beer,6195,1
Ж,30.0,3,48,Cola,442,1
Не указан,29.0,2,71,Strong beer,7476,1
Не указан,68.0,0,48,Cola,3560,0
Не указан,79.0,2,20,Fanta,9846,0
Не указан,80.0,5,12,Water,6897,1
Ж,99.0,1,62,Beerbeer,4509,0
Не указан,76.0,3,50,Cola,8813,1
М,41.0,2,28,Bugbeer,6368,1
Не указан,,1,26,Strong beer,571,0
М,57.0,2,54,Strong beer,2874,0
М,65.0,0,62,Fanta,3634,0
М,33.0,4,48,Bugbeer,5892,1
М,63.0,0,55,Strong beer,6057,1
М,36.0,2,22,Bugbeer,3406,0
Не указан,25.0,1,10,Cola,551,1
Ж,78.0,2,60,Cola,3870,0
М,29.0,1,51,Bugbeer,7727,0
М,13.0,3,29,Cola,4826,0
Не указан,0.0,0,24,Bugbeer,4426,1
Ж,14.0,1,45,Cola,7406,0
М,86.0,0,71,Bugbeer,2765,0
Не указан,56.0,2,69,Water,4159,1
Ж,26.0,5,47,Beerbeer,2134,1
М,23.0,5,24,Fanta,6308,1
Не указан,65.0,77397581,67,Cola,9576,1
Не указан,96.0,3,58,Cola,4311,0
М,69.0,2,22,Fanta,5088,1
Ж,43.0,0,64,Beerbeer,8544,1
Ж,55.0,3,64,Bugbeer,9517,1
М,88.0,0,78,Fanta,758,0
М,9.0,0,69,Cola,715,1
Ж,54.0,1,69,Fanta,8358,1
М,59.0,1,34,Fanta,1915,1
Не указан,63.0,0,13,Cola,9862,1
М,42.0,2,62,Water,5521,1
Ж,89.0,1,14,Water,3695,1
Ж,68.0,1,11,Cola,6038,0
Не указан,51.0,0,17,Water,4115,0
Не указан,85.0,1,14,Fanta,1200,0
Ж,73.0,1,19,Fanta,8322,0
Не указан,100.0,4,80,Bugbeer,9748,1
Не указан,7.0,0,39,Fanta,1683,0
М,76.0,1,72,Fanta,8286,1
Ж,65.0,5,40,Beerbeer,6328,1
Ж,85.0,4,45,Fanta,1617,0
Ж,31.0,2,39,Bugbeer,8272,0
Ж,26.0,2,47,Water,597,1
Ж,10.0,1,36,Fanta,2331,0
Не указан,,0,71,Strong beer,6830,0
Не указан,47.0,3,58,Beerbeer,5227,1
Не указан,54.0,1,20,Water,5247,1
Не указан,17.0,5,36,Strong beer,2477,1
М,44.0,4,12,Fanta,8708,0
Не указан,45.0,5,59,Strong beer,6322,1
М,,0,13,Cola,8452,0
Ж,14.0,2,35,Water,3503,1
Не указан,5.0,-6,78,Fanta,4869,0
Не указан,89.0,2,79,Water,3432,1
Не указан,47.0,5,16,Cola,7483,1
Ж,,4,56,Bugbeer,6920,1
Ж,96.0,0,59,Beerbeer,2825,1
Не указан,35.0,3,28,Beerbeer,7387,1
Ж,75.0,73486973,60,Strong beer,5642,1
Не указан,70.0,0,27,Water,2068,0
Не указан,75.0,2,66,Strong beer,1387,1
М,82.0,4,12,Fanta,5550,1
М,,0,78,Water,7271,0
Не указан,14.0,72096705,39,Fanta,7943,0
М,98.0,5,40,Cola,7603,1
М,65.0,4,35,Beerbeer,5626,1
Ж,72.0,4,47,Strong beer,6327,1
Ж,79.0,93713890,51,Water,7482,0
Ж,91.0,5,71,Bugbeer,5745,1
М,30.0,2,80,Bugbeer,5676,1
Не указан,27.0,1,61,Fanta,8973,1
Ж,25.0,0,40,Water,3264,1
М,,0,37,Water,7018,0
М,20.0,1,13,Cola,9265,1
Не указан,69.0,0,14,Fanta,1396,0
Ж,12.0,4,35,Cola,2197,1
Ж,18.0,0,15,Water,3302,0
Не указан,31.0,2,38,Beerbeer,7490,0
Не указан,8.0,1,71,Cola,3849,1
М,67.0,1,24,Bugbeer,2509,1
Ж,69.0,5,23,Bugbeer,4913,1
Ж,35.0,5,35,Beerbeer,4991,1
Не указан,39.0,3,22,Bugbeer,6649,1
Ж,,4,60,Strong beer,9595,1
М,40.0,-4,10,Fanta,828,1
Не указан,28.0,1,67,Fanta,8709,0
Ж,43.0,0,52,Strong beer,9448,0
Не указан,95.0,0,18,Cola,1506,1
Не указан,60.0,4543359,23,Cola,3095,1
Не указан,38.0,4,59,Fanta,6205,0
Ж,46.0,3,63,Beerbeer,1842,1
Не указан,2.0,1,79,Strong beer,4086,0
М,92.0,2,22,Beerbeer,4241,1
Ж,92.0,4,74,Strong beer,1368,0
Ж,23.0,1,49,Beerbeer,5335,0
М,74.0,3,61,Bugbeer,7774,0
Не указан,44.0,61179684,35,Beerbeer,1493,1
М,71.0,5,52,Bugbeer,3909,1
М,51.0,4,68,Bugbeer,1478,0
Ж,40.0,0,21,Cola,6577,1
Ж,68.0,1,32,Bugbeer,3976,0
Не указан,19.0,4,54,Bugbeer,3240,1
Не указан,27.0,5,26,Fanta,9475,1
М,23.0,0,63,Fanta,1668,0
Ж,96.0,3,19,Water,2849,0
М,26.0,0,35,Bugbeer,6856,1
М,73.0,79951320,10,Cola,8096,0
Не указан,42.0,1,59,Fanta,619,1
Ж,2.0,3,32,Bugbeer,9826,0
Не указан,66.0,5,62,Water,6020,1
Ж,66.0,3,10,Water,7437,1
М,53.0,3,31,Cola,9086,0
М,23.0,0,58,Water,7169,1
